id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
4,Union Station,5/2/2010,F,,4,Entire home/apt,4,1 bath,1,3,645,31
6,Shaw,10/31/2009,F,0.91,8,Entire home/apt,4,1 bath,2,3,80,31
9,Dupont Circle,6/20/2011,F,0,1,Entire home/apt,2,1 bath,1,1,135,31
11,Shaw,10/31/2009,F,0.91,8,Entire home/apt,4,1 bath,2,2,80,31
14,Shaw,12/14/2011,T,0.86,1,Entire home/apt,2,1 bath,1,1,185,2
15,Dupont Circle,12/22/2011,F,1,1,Entire home/apt,4,1 bath,1,3,149,3
16,Dupont Circle,7/1/2011,F,0.46,12,Entire home/apt,4,1 bath,2,3,198,5
17,Union Station,1/25/2012,F,,6,Entire home/apt,3,2 baths,2,2,129,90
19,Capitol Hill,9/1/2011,T,0.73,4,Entire home/apt,3,1 bath,1,1,184,2
20,Capitol Hill,3/12/2012,T,0.98,3,Entire home/apt,4,1 bath,1,2,200,3
21,Capitol Hill,3/30/2012,T,0.91,7,Entire home/apt,2,1 bath,,1,153,2
22,Capitol Hill,9/21/2009,T,0.96,2,Entire home/apt,5,2 baths,2,3,135,3
23,Union Station,4/29/2012,T,1,1,Entire home/apt,2,1 bath,1,1,100,2
24,Capitol Hill,6/8/2012,F,0.82,3,Entire home/apt,4,1 bath,1,2,130,3
25,Capitol Hill,6/17/2012,F,0.67,2,Entire home/apt,2,1 bath,1,1,145,31
27,Dupont Circle,6/28/2012,F,1,3,Entire home/apt,2,1 bath,,1,120,1
33,Union Station,11/12/2011,T,0.98,3,Entire home/apt,2,1 bath,1,1,125,2
35,Dupont Circle,11/22/2012,F,,5,Entire home/apt,2,1 bath,1,1,140,180
36,Shaw,10/31/2009,F,0.91,8,Entire home/apt,2,1 bath,1,1,75,31
39,Capitol Hill,1/5/2013,F,,1,Entire home/apt,3,1 bath,1,1,120,31
43,Shaw,11/29/2012,F,0.95,10,Entire home/apt,10,2.5 baths,4,5,564,3
44,Foggy Bottom,1/21/2013,T,0.67,3,Entire home/apt,5,2 baths,3,3,165,31
45,Foggy Bottom,1/21/2013,T,0.67,3,Entire home/apt,5,2 baths,3,2,180,31
47,Dupont Circle,1/27/2012,T,1,7,Entire home/apt,4,2 baths,3,3,195,31
48,Union Station,11/29/2012,F,0.95,10,Entire home/apt,9,4 baths,4,5,500,31
49,Shaw,4/4/2012,T,1,1,Entire home/apt,4,1 bath,,1,168,2
50,Capitol Hill,11/8/2012,F,0.6,8,Entire home/apt,6,2 baths,3,3,175,31
53,Union Station,4/21/2013,T,0.99,2,Entire home/apt,8,2 baths,2,5,197,2
54,Dupont Circle,2/5/2019,F,,6,Entire home/apt,3,1 bath,2,2,160,28
59,Union Station,7/28/2013,F,0.87,4,Entire home/apt,8,3.5 baths,4,5,297,2
61,Dupont Circle,8/23/2013,T,0.95,5,Entire home/apt,2,1 bath,1,1,171,30
62,Union Station,9/2/2013,F,1,14,Entire home/apt,4,1 bath,1,2,116,2
63,Shaw,9/5/2013,T,1,1,Entire home/apt,4,1 bath,1,2,150,2
65,Union Station,9/14/2013,T,1,1,Entire home/apt,2,1 bath,,1,107,2
67,Union Station,10/3/2013,F,1,2,NA,6,2.5 baths,3,3,225,3
72,Shaw,7/24/2012,F,0.25,1,Entire home/apt,2,1 bath,1,1,132,31
73,Union Station,10/21/2013,T,1,1,Private room,3,1 private bath,2,2,150,2
